GrazingHt,HerbageMass,LeafLaminaMass,HerbageAccumulationRate,LeafLaminaAccumulationRate,StockingRate,WeightGain
6.6,774.6,328,60.9,25.8,3914.2,-12.1
7.8,831,478,78.3,44.1,3699.6,-7.6
8.4,943.7,436,59.1,28.4,3817.6,-3.6
12.8,1488.3,670,102,46.2,2841.2,1.2
15.4,1845.1,742,94.8,36.4,3742.5,-4.1
18.6,2483.6,1060,112.7,47.6,3012.9,-0.6
26.8,2690.1,1096,143.9,60.6,2862.7,1.8
28,2539.9,874,164.5,60.8,2851.9,3.2
30.8,3591.5,1438,143,53,2626.6,4
32.9,3478.9,1144,141.3,46.9,3012.9,2.4
36.2,3835.7,1552,145.7,60.2,2283.3,1.6
39.2,5000,1882,143.9,55.3,2626.6,3.8
